vehicle_type,type_code,distance_km,weight_kg,load_ratio,mileage_kmpl,fuel_l
heavy-truck,0,629.9,5531.0,0.55,4.25,169.35
tempo,2,725.6,307.0,0.26,14.84,52.55
tempo,2,112.6,1142.0,0.95,12.42,11.63
delivery-van,3,216.0,326.0,0.41,13.57,16.02
delivery-van,3,559.7,392.0,0.49,11.82,53.34
tempo,2,533.0,899.0,0.75,14.22,42.39
mini-truck,1,128.7,1216.0,0.24,8.18,15.82
tempo,2,71.0,468.0,0.39,16.34,4.67
tempo,2,137.3,519.0,0.43,12.59,12.87
tempo,2,552.1,820.0,0.68,14.72,44.16
heavy-truck,0,643.5,4983.0,0.5,5.21,126.9
heavy-truck,0,455.3,9753.0,0.98,5.85,94.86
heavy-truck,0,165.1,8430.0,0.84,4.61,46.18
mini-truck,1,194.0,2444.0,0.49,7.71,26.8
mini-truck,1,423.9,2560.0,0.51,8.44,57.95
delivery-van,3,370.4,732.0,0.92,10.42,44.6
delivery-van,3,625.0,391.0,0.49,13.06,50.27
delivery-van,3,470.9,632.0,0.79,11.83,46.39
mini-truck,1,507.6,3008.0,0.6,7.73,75.44
delivery-van,3,352.4,355.0,0.44,13.68,29.3
heavy-truck,0,743.4,9703.0,0.97,4.35,209.31
delivery-van,3,742.1,295.0,0.37,14.03,62.38
heavy-truck,0,129.1,9854.0,0.99,5.28,31.24
heavy-truck,0,169.0,7989.0,0.8,5.51,37.4
delivery-van,3,495.0,275.0,0.34,13.27,43.25
mini-truck,1,443.0,4996.0,1.0,7.03,81.99
heavy-truck,0,214.8,9121.0,0.91,4.7,55.96
mini-truck,1,543.4,1011.0,0.2,8.81,67.08
tempo,2,575.3,682.0,0.57,15.79,42.03
heavy-truck,0,640.7,9955.0,1.0,4.35,179.32
tempo,2,79.5,261.0,0.22,15.86,5.14
delivery-van,3,526.5,750.0,0.94,12.11,51.04
tempo,2,316.3,989.0,0.82,13.56,26.95
mini-truck,1,708.9,1324.0,0.26,8.78,82.39
heavy-truck,0,339.2,4762.0,0.48,5.56,74.23
mini-truck,1,476.2,3063.0,0.61,8.45,62.96
delivery-van,3,622.9,731.0,0.91,13.33,56.25
mini-truck,1,126.2,3908.0,0.78,6.67,22.2
mini-truck,1,552.3,1957.0,0.39,8.54,72.4
tempo,2,389.4,743.0,0.62,12.97,35.6
delivery-van,3,60.7,270.0,0.34,11.44,6.22
tempo,2,613.9,839.0,0.7,15.98,45.27
tempo,2,266.7,1052.0,0.88,12.26,26.77
mini-truck,1,687.2,4943.0,0.99,7.28,118.44
mini-truck,1,75.1,2211.0,0.44,7.66,10.25
mini-truck,1,367.2,2382.0,0.48,6.43,60.61
delivery-van,3,401.6,586.0,0.73,14.08,35.82
delivery-van,3,338.7,161.0,0.2,10.84,31.43
tempo,2,436.2,571.0,0.48,16.22,30.44
heavy-truck,0,314.9,2637.0,0.26,4.74,69.43
mini-truck,1,337.2,1996.0,0.4,8.6,44.05
tempo,2,77.6,1053.0,0.88,14.29,6.4
mini-truck,1,653.6,4558.0,0.91,8.12,99.7
mini-truck,1,733.3,2383.0,0.48,7.36,114.15
mini-truck,1,614.9,4648.0,0.93,7.48,99.97
tempo,2,422.2,538.0,0.45,15.07,29.04
heavy-truck,0,62.1,9387.0,0.94,4.28,17.89
heavy-truck,0,349.3,3801.0,0.38,5.28,76.93
delivery-van,3,101.2,590.0,0.74,11.25,10.09
tempo,2,722.1,866.0,0.72,15.86,56.61
mini-truck,1,53.2,4619.0,0.92,7.33,8.94
delivery-van,3,87.0,510.0,0.64,12.84,8.07
heavy-truck,0,592.4,4565.0,0.46,5.81,109.69
heavy-truck,0,586.5,8481.0,0.85,4.4,153.08
tempo,2,545.5,249.0,0.21,13.82,46.08
heavy-truck,0,514.2,8859.0,0.89,5.03,134.75
delivery-van,3,217.4,667.0,0.83,12.38,20.38
delivery-van,3,571.4,719.0,0.9,10.76,67.88
heavy-truck,0,453.0,3698.0,0.37,4.75,105.62
delivery-van,3,703.3,667.0,0.83,11.12,79.41
delivery-van,3,676.8,450.0,0.56,13.07,55.39
heavy-truck,0,684.3,2040.0,0.2,5.51,128.52
heavy-truck,0,248.2,3753.0,0.38,4.54,54.48
mini-truck,1,666.3,3171.0,0.63,8.45,86.84
heavy-truck,0,467.0,9475.0,0.95,5.32,105.76
mini-truck,1,648.4,4843.0,0.97,7.97,94.9
mini-truck,1,320.1,4352.0,0.87,8.11,51.84
tempo,2,601.6,708.0,0.59,12.28,54.96
mini-truck,1,533.9,3208.0,0.64,7.71,83.25
delivery-van,3,556.5,397.0,0.5,10.56,62.65
tempo,2,705.8,831.0,0.69,12.21,70.57
tempo,2,321.3,371.0,0.31,14.65,22.9
mini-truck,1,522.8,2526.0,0.51,6.76,86.96
mini-truck,1,479.4,2900.0,0.58,8.02,67.87
delivery-van,3,416.2,194.0,0.24,13.02,38.59
delivery-van,3,599.6,442.0,0.55,12.88,56.18
mini-truck,1,682.2,1678.0,0.34,7.84,91.43
heavy-truck,0,697.2,9305.0,0.93,5.48,151.2
mini-truck,1,237.4,2521.0,0.5,6.82,41.44
mini-truck,1,504.2,1748.0,0.35,6.45,89.74
delivery-van,3,452.6,792.0,0.99,13.62,45.52
mini-truck,1,585.7,4052.0,0.81,6.76,108.39
delivery-van,3,719.0,780.0,0.98,10.34,88.7
delivery-van,3,281.7,478.0,0.6,11.43,25.75
delivery-van,3,319.7,445.0,0.56,12.83,28.88
tempo,2,553.7,469.0,0.39,16.2,37.57
delivery-van,3,342.2,726.0,0.91,13.07,31.45
delivery-van,3,554.5,419.0,0.52,14.09,43.46
tempo,2,685.2,1110.0,0.93,12.48,65.31
tempo,2,216.8,757.0,0.63,15.2,17.33
mini-truck,1,267.9,1247.0,0.25,6.62,43.51
tempo,2,176.4,727.0,0.61,13.97,14.63
tempo,2,142.9,1146.0,0.95,13.57,12.63
tempo,2,434.6,260.0,0.22,12.85,34.67
delivery-van,3,598.5,445.0,0.56,10.37,64.12
delivery-van,3,675.0,594.0,0.74,11.0,78.07
mini-truck,1,267.5,1298.0,0.26,8.4,33.81
tempo,2,294.4,567.0,0.47,12.15,26.61
mini-truck,1,78.4,4392.0,0.88,7.2,12.73
delivery-van,3,696.2,364.0,0.45,12.84,58.82
delivery-van,3,107.8,524.0,0.65,13.57,8.91
mini-truck,1,302.8,2049.0,0.41,6.52,49.78
heavy-truck,0,221.6,3275.0,0.33,5.03,47.15
delivery-van,3,735.3,648.0,0.81,12.27,69.15
mini-truck,1,661.5,4486.0,0.9,7.66,104.68
delivery-van,3,555.3,674.0,0.84,11.87,54.52
mini-truck,1,745.7,2303.0,0.46,7.3,120.98
mini-truck,1,267.7,1748.0,0.35,7.12,39.55
delivery-van,3,657.3,290.0,0.36,11.42,64.09
tempo,2,701.8,1047.0,0.87,13.85,62.4
delivery-van,3,103.6,655.0,0.82,12.97,10.37
mini-truck,1,195.1,1277.0,0.26,7.18,26.84
delivery-van,3,222.4,691.0,0.86,10.69,24.56
tempo,2,563.8,369.0,0.31,16.17,37.0
tempo,2,153.5,819.0,0.68,15.26,11.75
mini-truck,1,608.7,3366.0,0.67,7.7,89.34
heavy-truck,0,447.8,9633.0,0.96,5.31,101.51
tempo,2,493.6,331.0,0.28,12.73,42.99
delivery-van,3,92.5,717.0,0.9,12.81,9.34
tempo,2,317.6,463.0,0.39,13.28,24.26
delivery-van,3,389.8,752.0,0.94,12.32,40.82
delivery-van,3,606.2,345.0,0.43,11.93,52.7
delivery-van,3,553.9,345.0,0.43,13.23,46.87
delivery-van,3,667.2,540.0,0.67,11.36,67.48
delivery-van,3,121.2,245.0,0.31,11.01,11.26
mini-truck,1,277.2,3962.0,0.79,7.3,42.79
delivery-van,3,59.7,183.0,0.23,10.91,5.32
tempo,2,322.4,554.0,0.46,12.94,26.67
heavy-truck,0,614.0,7182.0,0.72,5.23,131.96
tempo,2,161.8,1165.0,0.97,14.71,13.93
delivery-van,3,438.7,556.0,0.69,11.14,48.08
delivery-van,3,382.9,613.0,0.77,12.4,39.77
mini-truck,1,495.5,1656.0,0.33,7.92,66.02
tempo,2,730.0,811.0,0.68,15.92,52.37
heavy-truck,0,509.1,8880.0,0.89,5.06,121.42
heavy-truck,0,310.3,7712.0,0.77,5.04,69.82
mini-truck,1,187.6,1539.0,0.31,7.03,28.29
tempo,2,489.3,727.0,0.61,12.18,45.44
mini-truck,1,669.0,3844.0,0.77,8.37,100.56
heavy-truck,0,525.8,9683.0,0.97,4.58,143.7
delivery-van,3,580.5,251.0,0.31,12.91,49.37
heavy-truck,0,187.6,4848.0,0.48,4.68,46.65
tempo,2,495.6,346.0,0.29,14.25,35.48
heavy-truck,0,315.5,5364.0,0.54,4.47,78.14
mini-truck,1,434.9,1217.0,0.24,8.84,49.62
tempo,2,579.9,731.0,0.61,14.51,41.37
heavy-truck,0,451.9,3587.0,0.36,5.76,78.67
mini-truck,1,589.9,2310.0,0.46,7.89,86.1
heavy-truck,0,588.8,6202.0,0.62,5.51,119.72
heavy-truck,0,533.3,7219.0,0.72,5.14,122.04
delivery-van,3,85.5,681.0,0.85,13.08,7.92
delivery-van,3,96.5,516.0,0.64,13.48,7.93
delivery-van,3,88.0,432.0,0.54,13.12,7.85
delivery-van,3,650.1,729.0,0.91,10.42,75.94
tempo,2,196.8,448.0,0.37,15.83,12.88
mini-truck,1,276.3,3530.0,0.71,6.59,45.91
delivery-van,3,450.6,395.0,0.49,14.04,37.37
mini-truck,1,329.5,2627.0,0.53,6.4,57.33
heavy-truck,0,247.1,2103.0,0.21,5.48,43.14
mini-truck,1,103.7,4529.0,0.91,8.62,15.25
heavy-truck,0,146.4,2842.0,0.28,4.33,37.97
delivery-van,3,704.9,603.0,0.75,10.51,76.49
mini-truck,1,500.9,2609.0,0.52,6.71,88.06
heavy-truck,0,130.4,4560.0,0.46,5.82,26.56
tempo,2,718.1,1015.0,0.85,15.44,57.75
heavy-truck,0,703.9,7903.0,0.79,4.56,181.87
mini-truck,1,322.7,4490.0,0.9,6.58,61.59
heavy-truck,0,743.9,3685.0,0.37,5.86,149.33
tempo,2,488.9,717.0,0.6,14.64,36.97
tempo,2,98.6,995.0,0.83,14.91,7.31
heavy-truck,0,375.9,4859.0,0.49,5.82,72.57
heavy-truck,0,73.2,2270.0,0.23,4.45,18.01
mini-truck,1,341.9,2479.0,0.5,6.39,60.72
tempo,2,195.3,502.0,0.42,13.0,17.67
heavy-truck,0,303.9,4468.0,0.45,4.97,71.79
tempo,2,255.2,617.0,0.51,15.54,19.73
mini-truck,1,494.7,1026.0,0.21,8.24,61.05
delivery-van,3,474.9,462.0,0.58,14.1,41.2
heavy-truck,0,612.9,3222.0,0.32,5.66,114.8
mini-truck,1,657.7,4029.0,0.81,8.76,84.45
heavy-truck,0,195.7,8567.0,0.86,4.39,55.09
tempo,2,152.8,715.0,0.6,13.87,12.98
tempo,2,285.8,1028.0,0.86,12.42,27.11
delivery-van,3,489.2,598.0,0.75,11.35,48.68
heavy-truck,0,550.5,4673.0,0.47,5.18,111.61
tempo,2,504.1,1063.0,0.89,15.67,39.31
mini-truck,1,330.4,1358.0,0.27,7.01,54.92
delivery-van,3,603.9,521.0,0.65,11.21,66.48
mini-truck,1,197.5,3523.0,0.7,7.3,32.56
delivery-van,3,114.2,258.0,0.32,12.0,10.65
tempo,2,231.3,501.0,0.42,14.05,18.77
mini-truck,1,260.4,3970.0,0.79,8.5,38.99
delivery-van,3,494.8,605.0,0.76,11.8,48.53
heavy-truck,0,263.7,8479.0,0.85,4.4,71.72
delivery-van,3,639.1,343.0,0.43,11.27,56.94
heavy-truck,0,419.6,2859.0,0.29,5.87,80.34
heavy-truck,0,143.5,2745.0,0.27,5.15,30.69
delivery-van,3,633.2,312.0,0.39,13.16,54.37
heavy-truck,0,390.7,8728.0,0.87,5.6,85.74
mini-truck,1,127.5,2384.0,0.48,8.78,16.42
delivery-van,3,205.7,581.0,0.73,12.79,19.94
tempo,2,255.0,1124.0,0.94,13.86,21.91
heavy-truck,0,619.3,3145.0,0.31,4.8,136.62
heavy-truck,0,177.0,3030.0,0.3,5.26,39.76
mini-truck,1,396.2,1372.0,0.27,7.78,54.17
heavy-truck,0,341.7,6734.0,0.67,5.0,85.43
delivery-van,3,177.2,388.0,0.48,11.21,18.73
delivery-van,3,137.7,213.0,0.27,10.97,14.08
mini-truck,1,620.7,1209.0,0.24,6.46,101.94
mini-truck,1,322.9,4038.0,0.81,8.75,44.5
heavy-truck,0,238.9,5752.0,0.58,4.48,61.04
delivery-van,3,472.4,330.0,0.41,11.06,46.9
mini-truck,1,251.2,4742.0,0.95,7.67,40.35
mini-truck,1,170.2,4898.0,0.98,8.07,27.17
tempo,2,655.7,1105.0,0.92,13.92,61.03
tempo,2,511.0,1002.0,0.84,15.74,39.44
delivery-van,3,260.5,604.0,0.76,12.63,26.35
delivery-van,3,265.6,693.0,0.87,13.07,25.72
heavy-truck,0,508.5,7782.0,0.78,4.38,136.96
tempo,2,156.4,580.0,0.48,15.61,10.7
tempo,2,448.2,648.0,0.54,14.49,34.96
tempo,2,441.8,1178.0,0.98,12.49,43.91
mini-truck,1,292.9,3601.0,0.72,6.66,49.82
tempo,2,481.7,978.0,0.82,13.71,41.84
delivery-van,3,689.2,163.0,0.2,10.78,75.03
mini-truck,1,289.3,3295.0,0.66,7.42,46.62
heavy-truck,0,516.2,3682.0,0.37,4.79,106.7
tempo,2,72.1,1099.0,0.92,15.28,5.67
mini-truck,1,692.5,2711.0,0.54,8.67,94.58
tempo,2,591.1,540.0,0.45,14.64,41.69
heavy-truck,0,63.1,7816.0,0.78,5.07,13.78
tempo,2,143.8,435.0,0.36,14.47,10.78
heavy-truck,0,574.1,9117.0,0.91,4.25,159.92
tempo,2,497.5,731.0,0.61,16.03,36.02
heavy-truck,0,386.9,9311.0,0.93,5.73,83.73
tempo,2,463.8,1192.0,0.99,13.27,44.55
heavy-truck,0,138.1,9922.0,0.99,5.73,31.56
mini-truck,1,151.2,3415.0,0.68,7.69,21.49
delivery-van,3,311.4,534.0,0.67,12.41,30.29
tempo,2,101.5,401.0,0.33,12.24,8.77
delivery-van,3,689.1,509.0,0.64,10.24,75.31
mini-truck,1,563.2,2036.0,0.41,6.68,97.57
heavy-truck,0,88.9,6290.0,0.63,4.71,21.81
heavy-truck,0,61.8,2584.0,0.26,4.65,13.33
tempo,2,291.7,517.0,0.43,14.65,23.44
heavy-truck,0,76.3,6379.0,0.64,5.33,16.12
tempo,2,452.4,425.0,0.35,14.97,36.0
delivery-van,3,62.3,750.0,0.94,10.83,7.25
delivery-van,3,280.4,278.0,0.35,11.85,24.6
delivery-van,3,734.3,597.0,0.75,12.08,75.94
tempo,2,634.9,679.0,0.57,12.01,60.47
tempo,2,610.6,833.0,0.69,12.35,54.78
heavy-truck,0,303.9,7039.0,0.7,5.23,65.66
tempo,2,271.3,701.0,0.58,15.96,19.25
heavy-truck,0,565.9,3279.0,0.33,4.6,143.68
mini-truck,1,166.5,3023.0,0.6,7.44,25.34
heavy-truck,0,285.1,3879.0,0.39,5.74,54.5
mini-truck,1,178.8,1891.0,0.38,7.18,26.12
heavy-truck,0,458.4,9779.0,0.98,5.32,104.04
tempo,2,553.6,419.0,0.35,13.4,45.35
delivery-van,3,246.6,391.0,0.49,11.37,23.34
heavy-truck,0,296.7,5994.0,0.6,5.82,60.89
tempo,2,425.5,583.0,0.49,14.29,34.6
mini-truck,1,323.2,1968.0,0.39,8.68,41.94
mini-truck,1,91.8,2079.0,0.42,7.4,14.1
delivery-van,3,675.3,331.0,0.41,12.24,60.89
mini-truck,1,527.2,2436.0,0.49,8.24,73.83
mini-truck,1,309.6,2977.0,0.6,8.65,42.27
heavy-truck,0,57.4,9875.0,0.99,5.67,12.19
delivery-van,3,357.7,729.0,0.91,10.35,42.84
heavy-truck,0,437.4,8468.0,0.85,5.03,107.94
heavy-truck,0,491.9,2787.0,0.28,5.31,90.26
tempo,2,273.4,554.0,0.46,15.41,21.27
tempo,2,558.4,469.0,0.39,13.12,49.32
heavy-truck,0,237.4,3315.0,0.33,4.84,52.61
delivery-van,3,434.3,706.0,0.88,11.65,46.63
tempo,2,380.2,566.0,0.47,14.36,24.55
delivery-van,3,289.5,628.0,0.79,12.21,29.38
delivery-van,3,376.2,777.0,0.97,12.2,39.46
delivery-van,3,523.8,300.0,0.37,13.99,41.11
mini-truck,1,396.5,2224.0,0.44,8.26,52.05
tempo,2,430.1,726.0,0.6,15.95,30.54
mini-truck,1,113.9,4791.0,0.96,7.87,18.58
heavy-truck,0,147.4,2090.0,0.21,4.41,36.46
heavy-truck,0,584.6,4357.0,0.44,4.53,150.16
heavy-truck,0,694.3,8240.0,0.82,4.6,175.75
mini-truck,1,132.9,4534.0,0.91,6.52,25.72
mini-truck,1,168.4,3358.0,0.67,6.92,26.51
heavy-truck,0,603.4,5631.0,0.56,4.89,137.92
delivery-van,3,706.3,328.0,0.41,12.15,70.59
delivery-van,3,326.5,386.0,0.48,12.85,27.48
mini-truck,1,371.7,2143.0,0.43,8.36,47.73
delivery-van,3,287.5,609.0,0.76,11.9,30.0
mini-truck,1,215.4,1814.0,0.36,7.59,30.68
tempo,2,120.8,520.0,0.43,15.48,8.64
delivery-van,3,159.4,199.0,0.25,10.54,16.12
delivery-van,3,131.5,598.0,0.75,10.47,14.39
mini-truck,1,59.6,2540.0,0.51,8.48,7.98
delivery-van,3,55.6,575.0,0.72,12.56,5.16
delivery-van,3,248.7,413.0,0.52,11.08,26.04
tempo,2,75.8,421.0,0.35,13.35,6.02
heavy-truck,0,682.9,9407.0,0.94,4.57,187.84
mini-truck,1,307.2,4080.0,0.82,8.77,37.96
heavy-truck,0,580.8,4828.0,0.48,4.86,139.64
delivery-van,3,109.3,575.0,0.72,14.12,8.82
heavy-truck,0,559.9,7619.0,0.76,4.36,149.49
tempo,2,495.2,573.0,0.48,13.64,44.36
delivery-van,3,254.3,541.0,0.68,10.7,26.03
delivery-van,3,370.1,348.0,0.43,11.65,37.31
mini-truck,1,192.6,1066.0,0.21,8.43,24.73
heavy-truck,0,467.0,8484.0,0.85,4.46,127.14
mini-truck,1,392.6,2813.0,0.56,8.49,55.42
tempo,2,577.5,1162.0,0.97,14.31,51.37
mini-truck,1,311.2,4003.0,0.8,7.64,50.5
heavy-truck,0,325.8,2400.0,0.24,4.39,83.24
delivery-van,3,660.9,392.0,0.49,10.69,67.77
mini-truck,1,564.1,3319.0,0.66,8.28,78.61
heavy-truck,0,495.5,9666.0,0.97,4.55,131.39
delivery-van,3,584.8,638.0,0.8,10.93,62.0
tempo,2,84.3,825.0,0.69,14.84,6.93
tempo,2,151.7,830.0,0.69,16.08,11.26
heavy-truck,0,705.2,6673.0,0.67,5.38,155.74
tempo,2,741.8,515.0,0.43,16.48,50.72
delivery-van,3,598.2,237.0,0.3,13.47,48.23
delivery-van,3,482.7,269.0,0.34,11.69,47.36
mini-truck,1,147.5,2771.0,0.55,8.62,20.22
tempo,2,145.5,571.0,0.48,14.58,11.14
mini-truck,1,239.4,3480.0,0.7,7.27,38.79
delivery-van,3,338.4,235.0,0.29,11.61,31.96
delivery-van,3,377.6,167.0,0.21,11.52,36.51
heavy-truck,0,202.9,3757.0,0.38,4.39,51.92
tempo,2,234.9,687.0,0.57,14.84,18.48
mini-truck,1,264.6,2074.0,0.41,8.06,39.0
mini-truck,1,257.0,2063.0,0.41,8.2,33.54
heavy-truck,0,514.0,2156.0,0.22,4.84,116.87
delivery-van,3,186.8,255.0,0.32,11.74,16.66
tempo,2,61.4,740.0,0.62,16.41,4.3
mini-truck,1,225.9,2119.0,0.42,8.32,31.05
heavy-truck,0,432.4,3993.0,0.4,4.97,97.53
tempo,2,749.7,989.0,0.82,15.35,56.45
mini-truck,1,467.4,4912.0,0.98,6.5,86.87
tempo,2,290.4,797.0,0.66,14.68,20.75
heavy-truck,0,307.2,3437.0,0.34,5.78,60.92
heavy-truck,0,98.6,2124.0,0.21,5.06,19.77
heavy-truck,0,387.2,4622.0,0.46,5.15,80.58
heavy-truck,0,308.6,9477.0,0.95,4.39,88.44
delivery-van,3,149.7,282.0,0.35,13.47,12.71
mini-truck,1,257.7,3234.0,0.65,8.48,34.13
tempo,2,458.1,959.0,0.8,15.89,35.86
delivery-van,3,221.7,321.0,0.4,14.12,17.61
delivery-van,3,121.2,705.0,0.88,11.2,12.71
mini-truck,1,745.1,4155.0,0.83,6.9,132.11
mini-truck,1,232.7,3174.0,0.63,7.62,37.34
mini-truck,1,164.7,2639.0,0.53,8.64,22.55
heavy-truck,0,432.0,8811.0,0.88,5.21,98.54
delivery-van,3,118.1,434.0,0.54,12.19,11.56
delivery-van,3,366.3,431.0,0.54,13.59,31.42
mini-truck,1,179.0,1291.0,0.26,8.73,21.6
delivery-van,3,438.0,610.0,0.76,10.39,53.75
heavy-truck,0,74.6,8909.0,0.89,5.1,17.33
delivery-van,3,484.0,733.0,0.92,12.72,40.2
mini-truck,1,138.9,4923.0,0.98,6.63,27.36
heavy-truck,0,350.8,8103.0,0.81,4.55,95.63
heavy-truck,0,205.7,8355.0,0.84,5.03,49.19
delivery-van,3,463.1,514.0,0.64,10.47,51.15
heavy-truck,0,644.6,7536.0,0.75,4.78,160.97
delivery-van,3,688.1,749.0,0.94,14.08,62.01
tempo,2,172.3,872.0,0.73,12.87,15.86
tempo,2,133.6,1109.0,0.92,16.46,10.54
delivery-van,3,563.2,783.0,0.98,12.26,57.98
delivery-van,3,76.3,288.0,0.36,13.3,6.62
tempo,2,481.3,368.0,0.31,12.09,43.45
delivery-van,3,204.8,374.0,0.47,13.63,16.22
delivery-van,3,190.5,796.0,0.99,11.64,20.4
tempo,2,272.9,403.0,0.34,14.43,19.14
mini-truck,1,350.5,1072.0,0.21,6.9,55.42
heavy-truck,0,87.6,8104.0,0.81,4.81,21.93
tempo,2,318.5,720.0,0.6,14.76,23.98
heavy-truck,0,434.0,7071.0,0.71,5.52,93.56
delivery-van,3,115.2,378.0,0.47,11.1,11.99
tempo,2,278.7,839.0,0.7,14.51,22.39
heavy-truck,0,245.2,7853.0,0.79,4.41,68.42
mini-truck,1,339.7,2340.0,0.47,7.24,53.02
heavy-truck,0,353.7,9807.0,0.98,4.97,82.54
delivery-van,3,627.6,741.0,0.93,13.27,60.4
heavy-truck,0,442.9,3061.0,0.31,5.13,92.02
heavy-truck,0,216.5,2631.0,0.26,4.41,53.71
tempo,2,402.3,509.0,0.42,15.88,27.97
heavy-truck,0,64.4,2491.0,0.25,4.88,13.65
delivery-van,3,433.1,344.0,0.43,10.8,43.03
tempo,2,686.4,273.0,0.23,13.85,50.42
delivery-van,3,730.4,643.0,0.8,13.64,65.14
tempo,2,556.6,578.0,0.48,12.13,52.33
delivery-van,3,626.2,388.0,0.49,10.22,69.22
delivery-van,3,361.1,451.0,0.56,10.92,40.27
heavy-truck,0,121.7,7149.0,0.71,4.53,32.37
heavy-truck,0,491.9,8569.0,0.86,5.06,117.33
mini-truck,1,494.5,2395.0,0.48,6.46,89.52
delivery-van,3,608.2,601.0,0.75,11.66,58.35
mini-truck,1,519.8,1263.0,0.25,8.38,65.6
delivery-van,3,157.1,243.0,0.3,13.27,12.9
heavy-truck,0,741.6,7256.0,0.73,5.75,157.35
tempo,2,477.1,618.0,0.51,15.43,37.91
heavy-truck,0,71.8,6436.0,0.64,5.6,14.01
mini-truck,1,54.0,2446.0,0.49,7.7,8.36
delivery-van,3,203.2,766.0,0.96,10.73,23.16
heavy-truck,0,667.3,3675.0,0.37,5.77,133.3
mini-truck,1,389.6,2346.0,0.47,7.87,54.03
delivery-van,3,585.3,359.0,0.45,14.08,47.9
delivery-van,3,103.7,429.0,0.54,13.92,8.03
mini-truck,1,275.5,3252.0,0.65,7.8,44.5
heavy-truck,0,704.2,9267.0,0.93,5.14,161.26
tempo,2,698.8,984.0,0.82,12.36,66.52
delivery-van,3,209.6,266.0,0.33,12.63,17.32
delivery-van,3,328.8,446.0,0.56,10.47,36.06
heavy-truck,0,709.9,7369.0,0.74,5.23,162.76
delivery-van,3,62.0,620.0,0.77,10.4,7.19
delivery-van,3,586.1,535.0,0.67,13.57,48.95
delivery-van,3,623.4,674.0,0.84,13.05,56.22
heavy-truck,0,82.8,7996.0,0.8,5.25,18.45
mini-truck,1,200.4,2713.0,0.54,8.07,27.23
delivery-van,3,431.4,247.0,0.31,11.09,43.42
delivery-van,3,138.0,773.0,0.97,11.61,14.32
tempo,2,123.5,693.0,0.58,15.98,8.7
mini-truck,1,698.4,3223.0,0.64,8.82,91.07
heavy-truck,0,58.5,6614.0,0.66,5.86,11.0
mini-truck,1,668.1,1229.0,0.25,6.78,101.22
delivery-van,3,314.5,299.0,0.37,12.38,28.39
mini-truck,1,717.7,3738.0,0.75,6.95,124.72
delivery-van,3,717.1,582.0,0.73,10.9,82.66
mini-truck,1,99.4,4086.0,0.82,7.98,14.55
delivery-van,3,631.1,796.0,0.99,11.11,66.27
tempo,2,463.6,475.0,0.4,15.16,33.27
heavy-truck,0,210.4,5773.0,0.58,4.39,54.82
heavy-truck,0,332.1,8339.0,0.83,5.05,84.0
mini-truck,1,339.3,4173.0,0.83,7.62,50.23
heavy-truck,0,452.5,5681.0,0.57,5.86,89.84
tempo,2,532.1,279.0,0.23,13.35,41.3
mini-truck,1,682.2,3202.0,0.64,7.32,101.03
tempo,2,633.9,762.0,0.64,14.25,54.85
delivery-van,3,603.9,405.0,0.51,13.37,49.96
mini-truck,1,524.0,1366.0,0.27,7.61,78.87
mini-truck,1,525.0,3705.0,0.74,7.9,79.7
heavy-truck,0,509.9,8658.0,0.87,5.86,112.58
delivery-van,3,70.9,204.0,0.25,10.71,6.64
tempo,2,351.5,477.0,0.4,15.47,23.36
delivery-van,3,610.5,588.0,0.73,11.7,63.57
heavy-truck,0,275.7,4287.0,0.43,4.33,74.31
mini-truck,1,190.5,1451.0,0.29,7.38,27.26
tempo,2,655.1,1055.0,0.88,15.6,53.54
tempo,2,83.9,642.0,0.53,14.42,7.1
delivery-van,3,100.7,368.0,0.46,12.22,9.33
mini-truck,1,537.1,1984.0,0.4,8.66,71.91
heavy-truck,0,729.6,3013.0,0.3,5.1,160.89
heavy-truck,0,362.1,2042.0,0.2,5.15,80.98
delivery-van,3,614.6,560.0,0.7,11.23,63.79
heavy-truck,0,181.0,3942.0,0.39,4.96,36.71
heavy-truck,0,649.8,5394.0,0.54,5.13,143.46
heavy-truck,0,547.1,3006.0,0.3,5.38,111.81
delivery-van,3,697.2,512.0,0.64,10.6,81.28
heavy-truck,0,706.1,9194.0,0.92,4.38,195.41
mini-truck,1,288.3,3437.0,0.69,7.79,42.57
tempo,2,542.9,339.0,0.28,16.18,36.9
tempo,2,577.6,1114.0,0.93,11.97,62.52
mini-truck,1,536.6,2544.0,0.51,6.68,94.89
tempo,2,191.4,276.0,0.23,13.34,14.17
tempo,2,60.5,1010.0,0.84,14.33,5.17
heavy-truck,0,615.0,6103.0,0.61,5.11,141.75
tempo,2,249.8,1059.0,0.88,12.01,24.19
heavy-truck,0,440.8,7997.0,0.8,5.11,106.85
heavy-truck,0,532.5,9947.0,0.99,4.81,145.36
delivery-van,3,284.9,702.0,0.88,13.99,26.64
heavy-truck,0,638.1,5557.0,0.56,5.57,125.11
mini-truck,1,267.3,2667.0,0.53,8.58,34.91
heavy-truck,0,98.1,9224.0,0.92,4.46,25.32
tempo,2,168.8,1101.0,0.92,15.81,13.12
delivery-van,3,280.5,690.0,0.86,13.32,25.31
tempo,2,260.4,330.0,0.28,14.63,18.62
tempo,2,675.4,949.0,0.79,13.58,54.27
mini-truck,1,223.4,4425.0,0.88,8.09,32.5
heavy-truck,0,105.2,8219.0,0.82,4.65,25.54
mini-truck,1,644.3,4231.0,0.85,8.41,93.12
