vehicle_type,type_code,capacity_kg,weight_kg,distance_km,mileage_kmpl,cost_per_km,health_score,available,utility
tempo,2,1200.0,745.5657419978942,254.5398222379597,12.32,5.24,85.3,1.0,0.9030421491651721
mini-truck,1,5000.0,4662.340337432763,382.75213741056905,7.4,12.74,83.7,1.0,0.7095160871290864
mini-truck,1,5000.0,3221.7337304965595,575.0453391058112,7.24,8.3,64.0,0.0,0.6538112184427873
delivery-van,3,800.0,628.2828277882758,657.7512030677165,12.98,2.16,63.9,1.0,1.0
tempo,2,1200.0,1050.088850106782,309.4792258792087,12.42,2.05,99.3,0.0,0.8196704449921776
mini-truck,1,5000.0,4519.0519708338425,292.43962199837404,6.84,18.14,79.4,0.0,0.5450202062817201
heavy-truck,0,10000.0,6660.479201295368,186.73392242280016,5.63,33.35,76.5,1.0,0.5548552389412414
mini-truck,1,5000.0,3590.5248355874824,396.65007873146885,6.65,13.96,46.0,1.0,0.7122380985070279
mini-truck,1,5000.0,2158.5340814055394,278.796750718084,7.15,21.6,84.4,1.0,0.7082488707555772
delivery-van,3,800.0,637.673423745533,284.65801711120207,11.45,3.48,73.4,0.0,0.6981926752865708
tempo,2,1200.0,436.57872739862825,657.5455375875425,12.64,4.76,62.6,0.0,0.7261381103011414
mini-truck,1,5000.0,2709.941838365642,533.6631477756927,8.5,17.62,87.1,1.0,0.7404196348616929
mini-truck,1,5000.0,1666.2003866713042,354.03809678086714,7.88,11.83,52.5,1.0,0.860098537747958
delivery-van,3,800.0,560.4486018403395,688.6469072935,13.79,3.26,99.9,0.0,0.9102359714957032
delivery-van,3,800.0,602.7788736213606,67.57115592174948,11.53,1.82,99.8,1.0,0.8768708139019177
heavy-truck,0,10000.0,1815.6059570960967,312.4392096348863,5.61,40.23,79.4,1.0,0.5460713548793225
heavy-truck,0,10000.0,7785.981896193205,104.14810438059149,4.43,27.86,48.6,1.0,0.5036319417836346
heavy-truck,0,10000.0,3094.878693291139,445.907287516996,5.69,20.27,70.9,1.0,0.6469029643762018
heavy-truck,0,10000.0,7540.644639138899,654.4357305841836,5.39,25.89,99.1,1.0,0.69195475309551
tempo,2,1200.0,202.86793368776026,533.5307017552598,14.74,4.75,91.7,1.0,0.9573904258996143
heavy-truck,0,10000.0,2321.254469376966,130.29164615496404,4.43,23.3,86.5,1.0,0.7527663856698256
delivery-van,3,800.0,498.91531560913506,142.81686914917984,10.39,1.64,54.7,1.0,0.8005887689844742
tempo,2,1200.0,1040.6969293751563,557.369389889096,12.17,2.82,69.8,0.0,0.8156635875484887
delivery-van,3,800.0,800.585024268212,591.2023812912716,12.34,1.8,53.6,1.0,0.785697617496442
heavy-truck,0,10000.0,7110.506642814883,588.857223611817,5.2,26.57,65.9,1.0,0.5690819150155783
mini-truck,1,5000.0,2502.4310068759974,394.2055788327324,8.5,15.9,78.3,1.0,0.7911494241076757
tempo,2,1200.0,1189.7865551813939,472.0096223587409,14.7,3.68,97.7,1.0,1.0
heavy-truck,0,10000.0,2870.6525982371336,301.4275286666109,5.23,42.94,90.6,1.0,0.5923534580795388
mini-truck,1,5000.0,835.3655986347319,582.2902746274893,8.08,16.41,91.6,1.0,0.7030695002463395
heavy-truck,0,10000.0,2142.7061329782023,650.921063095081,5.75,41.1,71.8,0.0,0.32061291599757125
tempo,2,1200.0,866.0163068025496,593.9025749033449,14.56,4.32,80.4,1.0,1.0
tempo,2,1200.0,565.3466825022418,191.4193462470086,13.0,5.03,79.7,1.0,0.920833455403424
tempo,2,1200.0,1243.5752109560267,290.24918964865657,15.12,4.63,71.7,1.0,0.8369995739886691
mini-truck,1,5000.0,5202.677961985019,612.6312511764102,6.7,19.85,53.8,1.0,0.6313266831224157
mini-truck,1,5000.0,3648.1010618497216,583.3505035270279,6.74,14.34,47.1,1.0,0.7858855812519466
tempo,2,1200.0,228.46190068046596,588.578154149964,12.45,4.66,62.1,0.0,0.7644676027523878
delivery-van,3,800.0,405.3139892523,417.4458823783536,13.15,1.87,48.9,1.0,0.8674176345206212
heavy-truck,0,10000.0,9001.037001005863,253.34843344657955,4.39,17.03,53.9,1.0,0.6535732483029214
delivery-van,3,800.0,279.0612628974725,373.0378532340973,11.76,1.77,59.3,1.0,0.8212473501788282
tempo,2,1200.0,264.94561489970414,160.14067314630537,14.21,2.94,55.7,0.0,0.8547786968683683
heavy-truck,0,10000.0,5844.663476276819,379.637060207874,4.34,41.42,73.9,1.0,0.43506793801784344
mini-truck,1,5000.0,1108.9696332680398,510.12868773738865,6.53,21.14,72.7,1.0,0.6451330554697228
heavy-truck,0,10000.0,6132.551754979423,206.6954747795703,5.55,24.75,60.1,1.0,0.6768102521908035
delivery-van,3,800.0,743.24190442467,221.47758534968693,11.52,1.31,98.6,1.0,0.9816278740802156
heavy-truck,0,10000.0,4772.091538666567,504.95552915421507,5.53,34.59,83.9,1.0,0.585031976545178
delivery-van,3,800.0,829.1231293211448,199.7588795700617,13.36,3.33,84.0,0.0,0.7186158748665473
heavy-truck,0,10000.0,5786.199030097807,685.9142290694197,5.09,25.38,52.8,0.0,0.4787035700978344
heavy-truck,0,10000.0,8440.305725902843,327.71249958875455,5.46,20.81,72.8,0.0,0.43521547437131813
mini-truck,1,5000.0,2981.559378516666,495.58223212526434,7.02,10.34,75.4,1.0,0.7408270826583817
tempo,2,1200.0,800.485976965192,168.32839092727724,12.89,2.05,84.9,1.0,1.0
heavy-truck,0,10000.0,2592.095982894455,654.6149349524695,5.05,29.57,53.2,1.0,0.5109438787688527
delivery-van,3,800.0,403.26580414328185,540.294072834986,13.05,2.09,74.3,0.0,0.6952163597471701
tempo,2,1200.0,366.2313900483072,289.3813632824375,12.93,4.0,58.4,1.0,0.8151237734683566
heavy-truck,0,10000.0,6573.919636425581,255.27164931779907,4.32,25.29,55.0,1.0,0.5702674565660096
delivery-van,3,800.0,582.790092402581,690.4965880058388,11.16,3.48,72.5,1.0,0.7978488405596149
tempo,2,1200.0,606.1016098131302,74.03513457259038,15.8,4.6,67.7,1.0,0.9276364633691214
heavy-truck,0,10000.0,6706.804604188137,699.3061303284439,5.44,35.73,62.6,0.0,0.4035105364515985
delivery-van,3,800.0,419.55430990680054,602.6783397421199,13.42,1.81,58.3,0.0,0.7388728527032475
heavy-truck,0,10000.0,5903.982013997199,562.8103479191021,4.53,18.03,73.6,1.0,0.6771683612415123
heavy-truck,0,10000.0,7544.90411620392,257.5623964387868,4.67,40.35,98.1,1.0,0.4893829162355957
delivery-van,3,800.0,622.2469190170918,266.1283187174768,12.04,3.36,98.9,1.0,0.9617708809494605
mini-truck,1,5000.0,1348.2098467111136,347.8047886899963,7.92,9.34,78.8,1.0,0.7714161151559824
mini-truck,1,5000.0,2141.5977429847317,426.4734492074627,6.63,13.3,68.0,1.0,0.8210364482918431
mini-truck,1,5000.0,1992.930950132935,321.18027119576607,8.55,12.45,89.0,1.0,0.7797528563151291
heavy-truck,0,10000.0,9205.149974457432,695.2452911801361,5.62,20.61,50.5,1.0,0.7205953721352157
heavy-truck,0,10000.0,7483.070265863243,584.1711303019418,5.38,43.24,98.3,1.0,0.5141438808368837
mini-truck,1,5000.0,1429.4840905399053,215.138840389238,7.09,19.19,89.1,1.0,0.7475158387280658
tempo,2,1200.0,792.0482716135175,668.4562720642625,13.42,3.39,46.1,0.0,0.72850712060523
tempo,2,1200.0,1013.9610156183435,403.4397378896552,12.75,4.92,45.5,1.0,0.8944152324144784
mini-truck,1,5000.0,3956.0501672953515,507.7131419194916,6.65,8.51,74.8,1.0,0.767308351413668
tempo,2,1200.0,823.8550199688715,112.8461424923077,12.76,5.16,57.1,1.0,0.9128599234029187
delivery-van,3,800.0,676.7326928729474,78.75079732836284,13.39,3.27,89.3,0.0,0.8497169303315684
mini-truck,1,5000.0,2767.0836361929773,475.71252621009796,8.55,14.07,83.2,1.0,0.8033412247218783
mini-truck,1,5000.0,3740.350659666175,390.7218356270008,6.63,21.49,88.8,0.0,0.5651572719898866
delivery-van,3,800.0,834.5980656087871,683.9573871820199,12.41,2.67,98.0,1.0,0.8188461286599207
mini-truck,1,5000.0,3781.0260393889794,538.2887711927234,7.17,21.76,59.1,1.0,0.6864228904407971
tempo,2,1200.0,216.42134636788668,216.34896161941754,11.96,4.77,98.5,1.0,0.9056437539091431
heavy-truck,0,10000.0,4769.982717004596,408.1253931686177,4.44,24.08,80.3,1.0,0.5534895806423047
tempo,2,1200.0,1045.6533263067117,72.14840460095608,13.16,4.9,69.6,1.0,0.9436666736297261
heavy-truck,0,10000.0,6517.0691324105965,378.1629233727475,5.45,20.9,46.2,1.0,0.690521877705844
heavy-truck,0,10000.0,6246.355224931976,366.85929209692756,4.48,21.56,91.3,0.0,0.5659153913648108
heavy-truck,0,10000.0,4568.150121293472,496.6886466927799,4.48,28.29,48.0,1.0,0.5490576764700908
mini-truck,1,5000.0,5220.990623520694,189.63504063792115,8.25,17.64,76.2,0.0,0.48475153250022185
mini-truck,1,5000.0,4674.12385352671,380.480156561013,7.99,18.29,66.3,1.0,0.6939374128129171
delivery-van,3,800.0,471.9517834913598,267.382688432672,10.77,1.69,64.6,1.0,0.8917340144797233
heavy-truck,0,10000.0,3993.765157425665,373.67580242410656,4.48,25.65,75.3,1.0,0.5279759341732462
delivery-van,3,800.0,728.1300430917597,642.9104691898425,13.48,1.98,95.0,1.0,0.9542295833076401
mini-truck,1,5000.0,4023.7040010528954,345.2796004043522,7.92,12.17,64.1,1.0,0.7876207728998297
tempo,2,1200.0,973.8468446393279,381.4301813095302,14.18,2.11,53.4,1.0,0.8838929702611407
mini-truck,1,5000.0,4651.369734862566,238.77376733350565,6.61,16.25,49.2,0.0,0.525188264191091
mini-truck,1,5000.0,1970.9382881707759,264.9314612980174,7.63,9.11,66.9,0.0,0.7154507103700745
delivery-van,3,800.0,421.907451365778,491.66766232915506,10.63,2.99,80.3,1.0,0.7927871304058094
mini-truck,1,5000.0,3125.091160359555,538.6631652023373,8.6,20.53,79.6,1.0,0.7434383349712173
heavy-truck,0,10000.0,1708.403933715231,340.6648910368605,4.69,24.81,62.1,1.0,0.6013991227136345
tempo,2,1200.0,1231.2275922252757,373.5249323874934,13.15,3.62,84.6,1.0,0.8869492339314616
tempo,2,1200.0,859.3496923053804,262.1269254557655,12.86,2.73,61.2,1.0,0.8945839551285432
tempo,2,1200.0,312.38242845564423,148.5705712345012,15.55,2.59,89.9,1.0,0.968977953507689
heavy-truck,0,10000.0,3725.4253878384934,409.8825859724217,5.3,36.49,65.8,1.0,0.5442352867241941
delivery-van,3,800.0,383.9559740955581,610.010612422649,11.2,3.34,97.2,1.0,0.948890030341407
delivery-van,3,800.0,162.69328171604832,231.03256824704056,12.88,1.3,90.7,0.0,0.8684484566618228
tempo,2,1200.0,333.081704622417,208.514629580813,12.14,3.65,59.1,1.0,0.8363315569160609
heavy-truck,0,10000.0,1822.805076188472,545.4710480502042,5.42,24.63,84.2,1.0,0.6029042677643965
tempo,2,1200.0,563.2718536383131,147.71555315721855,15.76,4.16,51.1,0.0,0.6739099767252322
mini-truck,1,5000.0,4159.527107561327,556.6363013138737,8.41,12.43,96.6,1.0,0.8034304364924645
tempo,2,1200.0,674.5802835580323,690.7459568344619,15.99,5.25,66.8,1.0,0.8570850632588815
mini-truck,1,5000.0,1602.7545235629061,581.5471230454175,6.72,16.3,81.7,1.0,0.6925248063390307
tempo,2,1200.0,447.6407465675684,474.66162505485204,12.47,2.74,70.5,1.0,0.8388303117236504
delivery-van,3,800.0,676.6113286783335,572.1512759327333,13.57,2.23,72.4,1.0,0.9760272748178422
heavy-truck,0,10000.0,6818.330282730849,282.79525772577904,4.8,30.03,51.7,1.0,0.6704036606717363
heavy-truck,0,10000.0,7105.936892482535,114.92479947246068,4.47,20.43,48.7,1.0,0.6172609819952921
tempo,2,1200.0,834.6838839946802,133.44182204815843,12.24,3.96,75.2,1.0,0.9218626737034528
delivery-van,3,800.0,822.0695652439297,84.34157852990317,13.34,1.64,48.3,0.0,0.6494070108928526
heavy-truck,0,10000.0,9743.709779529694,476.8970059328041,5.37,20.16,73.1,1.0,0.6627594119427175
heavy-truck,0,10000.0,6080.755046112288,512.2639593624219,5.03,18.15,91.5,0.0,0.5984078147731005
heavy-truck,0,10000.0,9492.100632245825,282.1657159000603,5.29,29.42,73.8,1.0,0.6685110876042017
mini-truck,1,5000.0,2914.5585824350196,153.92491188962117,7.49,19.7,55.3,1.0,0.6786493186991764
mini-truck,1,5000.0,5240.159839799212,471.4425682189472,6.78,14.8,62.4,1.0,0.629960431355261
heavy-truck,0,10000.0,10471.863908617262,672.8972329379309,5.4,42.85,93.0,1.0,0.46638682119839214
mini-truck,1,5000.0,1385.786511204064,406.6245457109011,8.07,14.61,52.0,1.0,0.7033927244506399
tempo,2,1200.0,433.9582080838627,667.1785833487128,13.37,3.09,77.7,1.0,0.9601943532866783
tempo,2,1200.0,900.6972293995406,576.8031858973065,12.01,4.12,47.8,0.0,0.7021524942395625
mini-truck,1,5000.0,1699.3483494334632,514.8460378628538,7.54,8.76,77.7,0.0,0.5648108267462049
mini-truck,1,5000.0,1726.6706311082903,529.2167770678273,8.57,15.55,65.7,1.0,0.6907555395087116
delivery-van,3,800.0,511.2019108880367,182.2698761787026,13.28,2.1,94.0,1.0,0.9366109452731974
delivery-van,3,800.0,710.197637187195,108.21213076181337,11.2,2.87,50.3,1.0,0.8270330393869779
delivery-van,3,800.0,212.4412491638051,115.4293963129129,10.23,3.48,58.0,1.0,0.8548617712550646
tempo,2,1200.0,828.7090002727307,468.25809663577905,15.35,5.24,63.1,1.0,0.9382037192130851
heavy-truck,0,10000.0,3860.1380874241686,586.0899410692655,5.04,21.18,71.9,1.0,0.6733622816331901
heavy-truck,0,10000.0,4402.97394941666,575.3163123651733,4.87,33.16,82.1,1.0,0.5452222088432934
mini-truck,1,5000.0,5095.673651525833,341.8236535058235,6.51,12.23,54.4,1.0,0.5869920953265927
tempo,2,1200.0,971.2265901599084,398.71109404613117,13.54,4.75,88.8,1.0,0.8644371304122305
mini-truck,1,5000.0,3870.595087933622,337.6734305687205,7.98,17.86,99.6,1.0,0.8356090330616757
tempo,2,1200.0,391.1312804458716,466.3635341876679,14.86,4.36,88.1,1.0,0.9027788813239901
mini-truck,1,5000.0,3593.8010698568546,254.60069263922065,7.75,8.73,90.5,0.0,0.6898355456469943
tempo,2,1200.0,904.1387723242843,264.5726616002203,13.07,4.16,80.7,1.0,0.9046442513278876
heavy-truck,0,10000.0,5797.568310331945,685.221268523232,4.33,40.6,59.6,0.0,0.3223533246205934
heavy-truck,0,10000.0,6531.670103951822,653.7238748083581,5.28,25.0,97.3,0.0,0.5544735421195759
mini-truck,1,5000.0,3279.8106874483165,286.2117154945771,6.41,18.6,64.1,1.0,0.6658214676499212
mini-truck,1,5000.0,3804.282074789741,125.89721492664765,8.37,16.29,60.3,1.0,0.7228818395118601
delivery-van,3,800.0,656.8652422862144,633.2444986038089,13.44,1.81,76.1,1.0,0.8178788265134718
delivery-van,3,800.0,268.3487140173624,107.18299771793937,13.57,1.39,84.7,1.0,1.0
heavy-truck,0,10000.0,3588.571184137281,527.1524390242967,4.48,34.25,77.7,0.0,0.41837692273159544
tempo,2,1200.0,1159.2843755373467,255.5951803668036,15.58,2.66,65.3,0.0,0.8116842303094127
mini-truck,1,5000.0,1359.3526046665022,105.48803065555973,8.62,18.02,53.6,1.0,0.6642732768654602
heavy-truck,0,10000.0,9220.160551091216,83.65719036460128,5.65,25.25,86.1,1.0,0.6573058200091197
heavy-truck,0,10000.0,7009.889703047876,430.21350710264477,4.66,16.8,57.9,0.0,0.5466347873750838
delivery-van,3,800.0,697.9500347087323,391.0777275161106,13.45,3.33,78.3,1.0,0.981237915273534
heavy-truck,0,10000.0,9285.342011239278,358.8679761906147,4.72,36.21,84.9,0.0,0.44712142783478676
heavy-truck,0,10000.0,7798.703448244736,229.5124223556155,4.77,30.59,79.6,1.0,0.5197968824802722
mini-truck,1,5000.0,4996.1899898386155,225.7145109521636,7.86,17.81,74.7,1.0,0.7133996886701213
mini-truck,1,5000.0,2385.0144962057993,692.0837428711759,8.43,13.83,48.6,1.0,0.6851434974845063
mini-truck,1,5000.0,4982.073603431255,391.64281308334773,6.7,18.21,84.9,0.0,0.5513461748358175
tempo,2,1200.0,1027.5385508850497,694.0121515757643,15.88,4.43,59.5,1.0,0.9735644277022104
mini-truck,1,5000.0,3358.1819456574403,233.94214241160597,6.59,12.07,88.7,1.0,0.7655002303214313
delivery-van,3,800.0,757.0332213084017,414.0156400978546,13.49,2.83,89.0,0.0,0.7911291589163754
tempo,2,1200.0,234.57001432281993,354.5825671493004,14.61,5.05,79.1,1.0,0.9636482968897605
tempo,2,1200.0,928.4024518649267,470.9728911108192,13.71,3.25,61.4,1.0,0.9362890793493339
delivery-van,3,800.0,305.0932673874774,361.8521821634365,10.54,2.65,75.3,1.0,0.9532163296934838
mini-truck,1,5000.0,2007.2537572083659,354.22787647464276,7.85,17.57,63.9,0.0,0.5869939143397526
mini-truck,1,5000.0,4787.889829201347,61.085788673284966,8.5,9.88,67.7,1.0,0.7129620230882059
tempo,2,1200.0,613.9859912773859,585.2791772135146,13.85,2.0,80.2,1.0,0.9630914857788211
heavy-truck,0,10000.0,5945.822772317936,91.75948055246195,5.12,42.66,60.2,1.0,0.4729561268195172
tempo,2,1200.0,1067.7115739725866,145.71525113931096,13.25,5.28,82.8,1.0,0.9806767201195521
delivery-van,3,800.0,643.5313978413836,317.24461027228494,13.22,3.28,89.4,1.0,0.9017551760233581
delivery-van,3,800.0,252.33979023583316,384.2950624743222,11.46,1.92,91.9,1.0,0.9119685062016948
heavy-truck,0,10000.0,6771.950539539335,600.4226660793331,5.08,36.7,67.8,1.0,0.5052839661962044
delivery-van,3,800.0,126.098941098147,295.22724254693406,11.01,3.44,92.5,1.0,0.8010094078949185
tempo,2,1200.0,831.4632114879685,532.4595456501993,14.39,3.02,79.4,1.0,0.92042095836361
delivery-van,3,800.0,432.57457281309956,89.8203006395083,12.99,1.83,95.3,1.0,0.9926917529047732
mini-truck,1,5000.0,4272.856373646165,259.74045599073565,6.59,13.62,66.2,1.0,0.7522315901074618
heavy-truck,0,10000.0,2510.9653036211726,698.8280896058479,4.82,25.45,95.6,0.0,0.5615275552163852
heavy-truck,0,10000.0,8485.274950059482,284.96810496015877,5.22,26.03,89.7,1.0,0.5541982334269524
heavy-truck,0,10000.0,9172.063114618939,424.78706457714975,5.09,42.18,74.8,1.0,0.5344231609453034
heavy-truck,0,10000.0,4669.0945175636825,631.5546952965599,4.95,26.7,47.8,1.0,0.6324674377191747
tempo,2,1200.0,589.2727850361566,358.59112978644015,15.16,2.19,76.6,1.0,0.9318310613175264
mini-truck,1,5000.0,2999.3742837548,318.2929288953264,6.82,20.41,77.8,1.0,0.6856900950809123
tempo,2,1200.0,725.8642478290225,613.3318112756363,12.66,2.94,75.4,1.0,0.9700649386583363
delivery-van,3,800.0,417.65625839276066,687.7444929711486,12.43,2.33,51.4,1.0,0.945736754632223
delivery-van,3,800.0,828.5724461261834,697.3482954255298,10.57,3.51,89.6,1.0,0.7687889919712404
mini-truck,1,5000.0,3502.63765908332,166.506963182797,7.2,9.52,59.8,1.0,0.7968756736677198
mini-truck,1,5000.0,2333.3156865795672,294.6089898679753,6.84,21.42,97.0,0.0,0.5697273257420548
tempo,2,1200.0,794.521507079206,106.53615827692285,13.13,3.01,57.2,0.0,0.7318509469171189
delivery-van,3,800.0,730.4996395615298,330.6992943737549,12.53,1.45,95.5,1.0,0.95147864112442
heavy-truck,0,10000.0,1797.6466254728577,548.0880968256216,5.17,32.62,51.0,0.0,0.40033140856806715
heavy-truck,0,10000.0,1881.7959805558717,628.9656759708702,4.91,25.58,73.1,1.0,0.6775326754091245
mini-truck,1,5000.0,4910.567213686564,420.7857786568325,7.94,20.7,52.7,1.0,0.7050816490158431
delivery-van,3,800.0,356.2121301954682,381.79466747804895,11.9,1.72,73.8,0.0,0.7312053818658281
delivery-van,3,800.0,131.1101185910451,658.2350044227771,10.37,2.7,63.2,0.0,0.6557316125427624
mini-truck,1,5000.0,2011.3269473630858,528.5077152010506,8.4,20.01,75.9,0.0,0.5916956747556138
tempo,2,1200.0,622.5506976043898,346.6779352999203,13.47,5.21,77.9,1.0,0.8821107933802809
delivery-van,3,800.0,764.9703905867821,434.6385966677002,12.01,3.27,92.6,1.0,0.9637551209890198
delivery-van,3,800.0,400.05288161984635,666.672562201463,12.48,2.79,57.4,1.0,0.9060903939774709
mini-truck,1,5000.0,1719.1249862223415,591.8955017476483,6.42,13.51,91.7,1.0,0.7642044737656898
tempo,2,1200.0,321.47249177183824,137.9690061728059,14.76,2.97,75.1,1.0,0.9550452144949322
heavy-truck,0,10000.0,8290.867905375753,436.02767664437465,5.27,37.26,62.5,1.0,0.5609053855375583
mini-truck,1,5000.0,2902.6200171481014,196.8637382652564,7.93,11.74,47.2,1.0,0.7700956518042431
delivery-van,3,800.0,212.64061165795022,690.5743585561374,13.36,2.7,88.9,1.0,0.9997391074485308
tempo,2,1200.0,1144.4622885410142,199.10118231299478,13.96,4.05,96.2,0.0,0.770912677706118
tempo,2,1200.0,1162.2684732773657,203.099716091384,15.46,2.76,84.9,1.0,0.9485191138690868
tempo,2,1200.0,253.08963256513525,533.8021719235476,14.59,3.84,79.2,1.0,0.8537419928490848
mini-truck,1,5000.0,2073.1214343362626,98.50340707937207,6.65,8.94,65.2,1.0,0.7710243563648188
mini-truck,1,5000.0,4917.090813603051,656.0690767779673,8.39,8.07,56.1,1.0,0.6746940184696687
mini-truck,1,5000.0,1533.434082340726,521.3882067830463,8.28,21.13,68.3,1.0,0.6510362697251558
heavy-truck,0,10000.0,9006.538591257433,92.48388848902032,5.34,24.18,47.5,1.0,0.6103752843386058
delivery-van,3,800.0,369.8840577561752,540.2537323622182,13.05,1.68,97.4,0.0,0.9060405792649459
tempo,2,1200.0,651.4523821413156,120.50950694951396,15.25,2.78,86.9,1.0,1.0
tempo,2,1200.0,887.6561287124962,183.32187330763395,15.08,4.03,69.8,0.0,0.7924659813337253
tempo,2,1200.0,988.224608937322,651.051803391179,12.95,3.04,69.4,1.0,0.8688355406446602
tempo,2,1200.0,339.93687027101225,151.30104157745342,13.24,4.89,91.3,1.0,0.9421307562074577
delivery-van,3,800.0,480.93247871329623,226.43467321894377,12.69,1.76,56.8,1.0,0.8163137544591452
mini-truck,1,5000.0,4791.007220687258,486.70293005161506,7.76,19.1,83.8,0.0,0.6063884591802323
delivery-van,3,800.0,550.0003653994231,327.6463872317471,10.76,2.82,59.0,1.0,0.9037262839167841
heavy-truck,0,10000.0,6748.19240149812,610.5185104695719,5.46,42.27,77.2,1.0,0.5140503700292338
heavy-truck,0,10000.0,5934.624171819713,94.25662329985684,4.97,35.85,99.8,1.0,0.503276686368499
delivery-van,3,800.0,450.62455070154704,554.8140131991523,11.49,3.18,59.4,1.0,0.8647343360430042
delivery-van,3,800.0,636.3738527007681,494.7151495398397,10.76,2.73,75.4,0.0,0.7249322108688365
mini-truck,1,5000.0,4845.70401236163,139.95997100370573,6.5,21.38,56.7,1.0,0.6659836894698773
mini-truck,1,5000.0,4971.633880536138,598.5380539964243,8.62,21.67,71.5,1.0,0.7005805099780389
heavy-truck,0,10000.0,1514.2596855787024,433.79599105760224,4.93,25.27,94.5,1.0,0.7014488827257899
tempo,2,1200.0,449.1931624782989,286.0414903175123,14.37,3.19,59.1,0.0,0.8085666091673119
tempo,2,1200.0,983.2253513950403,169.7413645817933,13.71,3.44,75.3,0.0,0.7549989027235953
tempo,2,1200.0,385.59532280327227,368.95520235629994,12.18,2.75,62.8,0.0,0.740739343509343
delivery-van,3,800.0,152.47328589339682,591.6504523389058,10.43,3.07,76.6,1.0,0.7862228059926917
heavy-truck,0,10000.0,2802.381289693562,659.6076346454956,4.3,18.47,75.4,1.0,0.6479405463125286
mini-truck,1,5000.0,1626.4519581689954,388.8141278687377,8.42,13.63,45.5,1.0,0.657985035830755
heavy-truck,0,10000.0,8997.594706468475,226.34933617343654,5.59,24.2,69.0,1.0,0.5483398822005667
heavy-truck,0,10000.0,9658.671016320957,291.82770657374977,5.48,21.27,67.3,1.0,0.6871007180216121
mini-truck,1,5000.0,4610.98479198034,220.52407080072607,6.6,11.77,72.1,1.0,0.7274062355620509
mini-truck,1,5000.0,4026.3593489538325,236.76607707822336,7.18,11.24,67.5,1.0,0.8099313684201984
mini-truck,1,5000.0,3503.027929514724,672.0780761825695,8.6,19.77,50.8,1.0,0.6572023325164529
mini-truck,1,5000.0,1915.365132005071,531.8826735434869,7.61,15.47,46.0,1.0,0.7323130672747251
delivery-van,3,800.0,133.75202525953551,174.8206183207356,10.38,1.42,98.6,1.0,0.9366921320817712
delivery-van,3,800.0,327.0397943397995,692.3008357792562,13.48,2.12,55.0,1.0,0.8420968769826718
heavy-truck,0,10000.0,10465.654479029216,620.7685619459639,4.84,29.76,58.1,1.0,0.4266445815786145
mini-truck,1,5000.0,3459.7245697197427,102.22224572846052,7.26,21.2,69.2,0.0,0.5190307112479835
mini-truck,1,5000.0,2141.474831905102,260.2842151783511,7.47,17.54,86.7,0.0,0.6659476546081073
mini-truck,1,5000.0,2390.9559693446627,428.39998242806473,7.96,19.71,61.3,1.0,0.7125039779092278
tempo,2,1200.0,246.2894426085005,405.8635955463601,13.79,4.66,54.5,1.0,0.9220042832374786
mini-truck,1,5000.0,2033.4983455665085,670.5495721645088,6.39,19.9,59.2,0.0,0.5276569310102649
delivery-van,3,800.0,608.932722709424,362.2370155214951,12.57,3.48,67.6,1.0,0.8796808321262649
heavy-truck,0,10000.0,5384.763118854146,382.87700956078993,4.27,32.38,86.5,1.0,0.6022081603863055
delivery-van,3,800.0,184.08946743512945,610.4728051894855,10.34,2.83,64.3,1.0,0.8799577787583438
delivery-van,3,800.0,473.4475193273104,514.1905081776026,13.55,2.17,61.4,1.0,0.9354897308504122
tempo,2,1200.0,369.6673642390322,553.7993138501517,13.52,3.12,56.6,1.0,0.9119914625085568
tempo,2,1200.0,827.9717797107104,693.4041742642687,14.02,5.15,62.5,1.0,0.9586157358790972
mini-truck,1,5000.0,2359.5490102814947,604.8445161869437,7.23,12.65,93.4,1.0,0.778152340429805
tempo,2,1200.0,196.58690233997925,492.1953041743074,12.58,2.54,96.2,1.0,0.9881710092933097
delivery-van,3,800.0,326.07618091095816,161.51162079530218,10.29,2.89,49.7,1.0,0.9256172679022944
heavy-truck,0,10000.0,5948.365769360754,538.9696238754022,5.47,27.04,88.1,1.0,0.6709589209577033
heavy-truck,0,10000.0,4278.002769465605,611.3538576663917,4.63,42.25,71.2,1.0,0.5739977054479195
delivery-van,3,800.0,640.6401593700351,249.3069390807866,12.41,1.82,57.1,1.0,0.9153914010920623
mini-truck,1,5000.0,4712.1098982320045,424.69581958694283,6.81,8.43,64.3,1.0,0.842627889167357
tempo,2,1200.0,273.6583302111537,580.788361484424,12.88,3.45,65.3,0.0,0.7057830593125666
tempo,2,1200.0,283.20065379811496,135.0450397672344,13.97,4.37,74.0,0.0,0.811621630324549
heavy-truck,0,10000.0,4398.696449871016,562.72396785193,4.85,27.08,45.0,1.0,0.5077993062792235
heavy-truck,0,10000.0,6692.998630799142,668.1640928223139,4.8,20.31,59.7,1.0,0.6777997258840156
heavy-truck,0,10000.0,5398.174893345527,599.1775864107244,5.15,40.09,62.4,1.0,0.47777199226026895
delivery-van,3,800.0,554.3818496034512,152.33695349516546,12.92,2.14,81.2,1.0,0.8350954564787345
mini-truck,1,5000.0,1092.7332105072433,423.15618398517444,8.46,10.29,76.2,1.0,0.7624508055361827
heavy-truck,0,10000.0,6042.02066645148,460.70629366302387,5.66,43.51,71.5,1.0,0.4572194945520903
